dest_ip,owner
208.85.40.0/21,Pandora
54.224.0.0/12,Amazon
54.220.0.0/15,Amazon
54.216.0.0/14,Amazon
54.208.0.0/13,Amazon
74.125.0.0/16,Google
17.0.0.0/8,Apple
10.100.0.0/24,Bert
172.224.0.0/12,Akamai
66.90.128.0/17,Grande
69.72.128.0/17,FortressITX
173.194.0.0/16,Google
224.0.0.0/4,Multicast
204.107.141.0/24,Splunk
157.54.0.0/15,Microsoft
157.60.0.0/16,Microsoft
157.56.0.0/14,Microsoft
64.91.224.0/19,Liquidweb
63.143.32.0/19,LimestoneNetworks
216.155.96.0/19,Accelerated_Data_Works
199.92.0.0/14,Level3
216.17.64.0/19,USINet
216.17.0.0/18,USINet
206.32.0.0/14,Level3
24.155.0.0/16,Grande
91.190.218.0/24,Skype
216.82.211.80/32,Bert
216.82.211.133/32,Bert
64.128.30.226/32,Bert
